date,symbol,root,settle
2015-02-12,LE.V.0,LE,151.7
2015-02-12,PL.V.0,PL,1201.5
2015-02-12,RB.V.0,RB,1.6043
2015-02-12,SI.V.0,SI,16.855
2015-02-12,ZC.V.0,ZC,383.0
2015-02-12,ZL.V.0,ZL,32.01
2015-02-12,ZM.V.0,ZM,330.4
2015-02-12,ZR.V.0,ZR,10.325
2015-02-12,ZS.V.0,ZS,983.25
2015-02-13,CL.V.0,CL,52.65
2015-02-13,GC.V.0,GC,1227.9
2015-02-13,GF.V.0,GF,203.875
2015-02-13,HE.V.0,HE,66.15
2015-02-13,HG.V.0,HG,2.602
2015-02-13,LE.V.0,LE,153.3
2015-02-13,PL.V.0,PL,1208.3
2015-02-13,RB.V.0,RB,1.6215
2015-02-13,SI.V.0,SI,17.32
2015-02-13,ZC.V.0,ZC,387.75
2015-02-13,ZL.V.0,ZL,32.33
2015-02-13,ZM.V.0,ZM,332.6
2015-02-13,ZR.V.0,ZR,10.54
2015-02-13,ZS.V.0,ZS,990.0
2015-02-15,CL.V.0,CL,53.2
2015-02-15,GC.V.0,GC,1228.7
2015-02-15,HG.V.0,HG,2.6055
2015-02-15,PL.V.0,PL,1210.5
2015-02-15,RB.V.0,RB,1.649
2015-02-15,SI.V.0,SI,17.305
2015-02-16,CL.V.0,CL,52.82
2015-02-16,GC.V.0,GC,1231.7
2015-02-16,HG.V.0,HG,2.609
2015-02-16,PL.V.0,PL,1208.7
2015-02-16,RB.V.0,RB,1.627
2015-02-16,SI.V.0,SI,17.27
2015-02-17,CL.V.0,CL,53.12
2015-02-17,GC.V.0,GC,1208.5
2015-02-17,GF.V.0,GF,201.8
2015-02-17,HE.V.0,HE,63.85
2015-02-17,HG.V.0,HG,2.58
2015-02-17,LE.V.0,LE,150.95
2015-02-17,PL.V.0,PL,1181.8
2015-02-17,RB.V.0,RB,1.5813
2015-02-17,ZC.V.0,ZC,389.75
2015-02-17,ZL.V.0,ZL,32.34
2015-02-17,ZM.V.0,ZM,342.5
2015-02-17,ZR.V.0,ZR,10.68
2015-02-17,ZS.V.0,ZS,1008.25
2015-02-18,CL.V.0,CL,50.59
2015-02-18,GC.V.0,GC,1212.8
2015-02-18,GF.V.0,GF,203.3
2015-02-18,HE.V.0,HE,64.9
2015-02-18,HG.V.0,HG,2.6125
2015-02-18,LE.V.0,LE,152.9
2015-02-18,PL.V.0,PL,1173.5
2015-02-18,RB.V.0,RB,1.5593
2015-02-18,SI.V.0,SI,16.51
2015-02-18,ZC.V.0,ZC,383.5
2015-02-18,ZL.V.0,ZL,32.06
2015-02-18,ZM.V.0,ZM,339.0
2015-02-18,ZR.V.0,ZR,10.88
2015-02-18,ZS.V.0,ZS,996.5
2015-02-19,CL.V.0,CL,51.19
2015-02-19,GC.V.0,GC,1208.7
2015-02-19,GF.V.0,GF,202.375
2015-02-19,HE.V.0,HE,67.225
2015-02-19,HG.V.0,HG,2.6155
2015-02-19,LE.V.0,LE,151.75
2015-02-19,PL.V.0,PL,1172.0
2015-02-19,RB.V.0,RB,1.6201
2015-02-19,SI.V.0,SI,16.39
2015-02-19,ZC.V.0,ZC,390.0
2015-02-19,ZL.V.0,ZL,31.87
2015-02-19,ZM.V.0,ZM,347.3
2015-02-19,ZR.V.0,ZR,11.025
2015-02-19,ZS.V.0,ZS,1007.25
2015-02-20,CL.V.0,CL,50.75
2015-02-20,GC.V.0,GC,1203.4
2015-02-20,GF.V.0,GF,199.15
2015-02-20,HE.V.0,HE,67.55
2015-02-20,HG.V.0,HG,2.6045
2015-02-20,LE.V.0,LE,148.5
2015-02-20,PL.V.0,PL,1163.8
2015-02-20,RB.V.0,RB,1.8439
2015-02-20,SI.V.0,SI,16.235
2015-02-20,ZC.V.0,ZC,385.5
2015-02-20,ZL.V.0,ZL,31.48
2015-02-20,ZM.V.0,ZM,347.1
2015-02-20,ZR.V.0,ZR,10.79
2015-02-20,ZS.V.0,ZS,999.75
2015-02-22,CL.V.0,CL,50.4
2015-02-22,GC.V.0,GC,1202.2
2015-02-22,HG.V.0,HG,2.607
2015-02-22,PL.V.0,PL,1165.4
2015-02-22,RB.V.0,RB,1.8425
2015-02-22,SI.V.0,SI,16.205
2015-02-23,CL.V.0,CL,49.37
2015-02-23,GC.V.0,GC,1203.0
2015-02-23,GF.V.0,GF,198.275
2015-02-23,HE.V.0,HE,68.45
2015-02-23,HG.V.0,HG,2.5915
2015-02-23,LE.V.0,LE,147.2
2015-02-23,PL.V.0,PL,1165.0
2015-02-23,RB.V.0,RB,1.8366
2015-02-23,SI.V.0,SI,16.315
2015-02-23,ZC.V.0,ZC,379.0
2015-02-23,ZL.V.0,ZL,31.28
2015-02-23,ZM.V.0,ZM,338.1
2015-02-23,ZR.V.0,ZR,10.71
2015-02-23,ZS.V.0,ZS,998.0
2015-02-24,CL.V.0,CL,49.22
2015-02-24,GC.V.0,GC,1204.8
2015-02-24,GF.V.0,GF,195.8
2015-02-24,HE.V.0,HE,69.05
2015-02-24,HG.V.0,HG,2.649
2015-02-24,LE.V.0,LE,145.45
2015-02-24,PL.V.0,PL,1169.1
2015-02-24,RB.V.0,RB,1.8166
2015-02-24,SI.V.0,SI,16.385
2015-02-24,ZC.V.0,ZC,377.75
2015-02-24,ZL.V.0,ZL,31.6
2015-02-24,ZM.V.0,ZM,345.6
2015-02-24,ZR.V.0,ZR,10.7
2015-02-24,ZS.V.0,ZS,1015.5
2015-02-25,CL.V.0,CL,50.92
2015-02-25,GC.V.0,GC,1205.2
2015-02-25,GF.V.0,GF,196.375
2015-02-25,HE.V.0,HE,68.825
2015-02-25,HG.V.0,HG,2.6625
2015-02-25,LE.V.0,LE,147.4
2015-02-25,PL.V.0,PL,1173.9
2015-02-25,RB.V.0,RB,1.9278
2015-02-25,SI.V.0,SI,16.515
2015-02-25,ZC.V.0,ZC,376.0
2015-02-25,ZL.V.0,ZL,31.87
2015-02-25,ZM.V.0,ZM,340.2
2015-02-25,ZR.V.0,ZR,10.765
2015-02-25,ZS.V.0,ZS,1011.25
2015-02-26,CL.V.0,CL,48.87
2015-02-26,GC.V.0,GC,1210.0
2015-02-26,GF.V.0,GF,200.65
2015-02-26,HE.V.0,HE,66.825
